metal_type,pouring_temperature,mold_material,cooling_rate,section_thickness,pouring_speed,porosity,shrinkage,cold_shut
Steel,1528.76,sand,medium,31.16,0.6,1,1,1
Aluminum,704.57,ceramic,low,40.33,2.57,1,1,1
Cast Iron,1206.18,die,high,18.22,1.85,0,0,0
Aluminum,696.28,sand,high,39.02,1.82,0,0,1
Aluminum,744.68,die,low,22.21,2.26,1,1,1
Cast Iron,1295.39,die,medium,23.5,2.65,1,1,0
Steel,1451.78,die,low,35.27,2.86,1,1,0
Steel,1467.48,sand,low,40.29,1.86,1,1,1
Aluminum,742.38,ceramic,medium,35.01,0.88,0,0,1
Cast Iron,1319.74,ceramic,high,45.49,2.7,1,0,1
Steel,1522.92,ceramic,low,17.83,0.6,1,1,0
Aluminum,711.7,sand,high,45.53,2.52,0,0,1
Cast Iron,1207.93,ceramic,high,10.89,2.2,1,0,0
Steel,1568.92,sand,medium,34.68,2.76,1,1,0
Steel,1540.5,die,low,29.64,2.74,1,1,0
Cast Iron,1288.97,die,low,27.26,0.63,1,1,0
Cast Iron,1224.98,ceramic,high,18.99,2.02,0,0,0
Cast Iron,1236.09,sand,high,27.67,0.81,0,0,1
Cast Iron,1191.54,die,medium,12.28,0.7,0,1,0
Aluminum,744.81,sand,high,21.62,1.62,0,0,1
Cast Iron,1339.31,sand,medium,9.44,0.74,0,1,0
Steel,1572.66,die,low,30.73,2.32,1,1,0
Steel,1590.33,sand,medium,9.31,2.92,1,1,0
Aluminum,716.53,die,high,12.22,1.92,0,0,1
Steel,1485.2,die,low,8.85,1.09,1,1,0
Steel,1564.03,die,medium,22.16,2.61,1,1,0
Cast Iron,1215.06,sand,low,42.89,2.63,1,1,1
Steel,1516.07,die,medium,45.81,2.33,1,1,1
Aluminum,677.44,sand,high,8.24,2.04,0,0,1
Cast Iron,1234.72,die,high,33.55,2.67,1,0,0
Cast Iron,1285.86,die,low,35.8,0.91,1,1,1
Aluminum,661.06,ceramic,low,29.02,2.83,1,1,1
Cast Iron,1171.04,ceramic,low,35.01,2.87,1,1,1
Cast Iron,1286.75,ceramic,medium,15.52,2.68,1,1,0
Aluminum,727.96,sand,high,27.03,1.13,0,0,1
Cast Iron,1260.29,sand,low,22.59,2.65,1,1,1
Aluminum,668.16,die,low,9.04,1.74,0,1,0
Aluminum,693.08,die,low,33.15,1.99,0,1,1
Steel,1563.73,die,medium,27.28,2.6,1,1,0
Steel,1552.86,die,low,17.38,0.57,1,1,0
Cast Iron,1171.97,sand,low,26.32,1.41,1,1,1
Cast Iron,1343.83,die,medium,39.89,2.54,1,1,1
Aluminum,672.34,die,medium,41.07,2.53,0,1,1
Cast Iron,1194.08,ceramic,low,34.23,2.62,1,1,1
Aluminum,695.99,die,low,26.05,0.92,0,1,1
Aluminum,682.72,die,medium,30.91,2.26,1,1,1
Cast Iron,1346.8,die,high,22.33,0.87,0,0,0
Aluminum,657.65,sand,medium,10.7,2.46,0,0,1
Steel,1495.97,ceramic,high,22.35,1.11,0,0,0
Cast Iron,1226.54,die,low,28.86,2.34,1,1,0
Steel,1524.02,die,low,31.95,1.64,1,1,0
Cast Iron,1153.28,ceramic,high,47.11,2.97,1,1,1
Aluminum,658.24,die,medium,39.98,1.95,0,0,1
Cast Iron,1201.56,sand,low,11.84,2.08,1,1,0
Steel,1533.1,die,high,12.84,1.42,1,1,0
Aluminum,726.78,sand,medium,9.52,2.34,0,0,0
Cast Iron,1287.3,sand,high,38.22,1.74,0,1,1
Cast Iron,1263.4,die,medium,36.78,0.55,0,1,1
Cast Iron,1229.45,ceramic,medium,49.39,2.02,1,1,1
Steel,1580.6,sand,medium,28.49,2.58,1,1,0
Steel,1518.97,ceramic,medium,42.19,1.09,1,1,1
Cast Iron,1209.85,die,high,30.94,1.05,0,0,0
Aluminum,712.93,sand,high,44.33,2.02,0,0,1
Aluminum,719.21,die,high,37.45,2.54,0,0,1
Steel,1509.77,ceramic,high,33.93,1.12,0,1,0
Aluminum,652.81,die,high,30.43,2.83,0,0,1
Steel,1464.12,die,medium,37.53,2.82,1,1,0
Cast Iron,1319.12,sand,low,23.88,1.0,1,1,1
Steel,1458.48,die,low,9.35,1.16,1,1,0
Steel,1538.8,die,high,6.8,2.25,1,0,0
Cast Iron,1186.74,die,high,26.56,2.88,0,0,0
Aluminum,672.89,sand,low,31.97,2.27,1,1,1
Steel,1491.0,ceramic,medium,8.55,1.61,1,1,0
Steel,1455.74,ceramic,high,17.91,0.92,0,0,0
Cast Iron,1185.45,die,medium,19.49,1.65,1,1,0
Aluminum,715.05,sand,low,30.33,2.02,1,1,1
Steel,1524.81,die,low,17.53,1.33,1,1,0
Cast Iron,1309.47,ceramic,high,9.3,1.78,0,0,0
Steel,1459.19,sand,medium,12.42,0.83,0,1,0
Cast Iron,1327.78,ceramic,high,12.83,1.63,0,0,0
Aluminum,749.64,ceramic,low,42.92,0.73,0,1,1
Aluminum,651.57,sand,medium,17.79,0.62,0,0,1
Aluminum,746.76,sand,high,37.16,2.64,0,0,1
Aluminum,673.59,die,high,30.55,1.01,0,0,1
Steel,1553.88,die,high,48.97,1.94,0,1,0
Steel,1493.87,ceramic,low,17.28,0.87,1,1,0
Aluminum,702.18,sand,high,12.13,1.16,0,0,1
Aluminum,701.04,sand,medium,7.34,1.4,0,0,1
Aluminum,686.11,die,high,15.84,0.86,0,0,1
Steel,1557.63,ceramic,low,35.78,0.61,1,1,0
Aluminum,709.96,ceramic,high,8.84,2.69,0,0,1
Aluminum,700.83,die,low,16.01,0.53,0,1,1
Aluminum,748.28,sand,low,43.49,0.65,0,1,1
Cast Iron,1338.0,die,medium,31.23,2.51,1,1,0
Aluminum,745.54,die,medium,8.13,1.21,0,0,1
Cast Iron,1326.26,die,high,7.15,2.31,1,0,0
Cast Iron,1201.03,die,low,7.75,0.87,0,1,0
Aluminum,685.0,sand,low,47.38,1.09,0,1,1
Cast Iron,1196.21,die,medium,43.24,1.93,1,1,1
Aluminum,748.62,sand,medium,43.02,2.97,0,1,1
Steel,1472.9,die,high,46.59,0.68,0,1,0
Steel,1504.98,ceramic,low,27.74,1.5,1,1,0
Steel,1479.86,sand,medium,16.13,0.61,1,1,0
Steel,1483.52,ceramic,high,23.06,1.0,0,0,0
Cast Iron,1199.42,die,low,37.35,2.77,1,1,1
Aluminum,713.97,die,low,44.42,0.74,0,1,1
Aluminum,657.6,die,medium,24.58,2.64,0,0,1
Aluminum,707.25,sand,high,29.09,0.94,0,0,1
Steel,1572.89,ceramic,medium,46.93,2.65,1,1,1
Steel,1564.98,sand,high,9.84,1.85,1,0,0
Aluminum,665.12,sand,low,43.8,2.7,1,1,1
Steel,1587.21,die,high,12.17,0.88,1,1,0
Aluminum,727.01,ceramic,high,26.77,2.41,0,0,1
Aluminum,650.53,die,high,14.83,2.2,0,0,1
Aluminum,723.74,sand,high,32.13,1.86,0,0,1
Aluminum,723.74,die,high,30.14,2.53,0,0,1
Aluminum,699.68,ceramic,medium,22.1,2.12,0,0,1
Aluminum,654.6,die,high,43.85,2.69,0,0,1
Aluminum,707.99,ceramic,high,34.69,1.45,0,0,1
Steel,1564.86,ceramic,low,37.45,1.97,1,1,0
Aluminum,677.09,die,high,11.78,2.68,0,0,1
Aluminum,716.71,sand,low,44.74,1.04,0,1,1
Steel,1503.09,die,medium,12.52,1.71,1,1,0
Steel,1536.08,sand,medium,15.03,2.9,1,1,0
Steel,1507.68,sand,high,10.76,1.68,0,0,0
Aluminum,680.38,die,medium,24.82,1.13,0,0,1
Cast Iron,1321.18,sand,high,44.95,1.38,1,1,1
Cast Iron,1300.77,sand,medium,16.36,2.71,1,1,0
Steel,1501.82,die,high,21.82,2.89,1,0,0
Cast Iron,1236.93,die,high,43.07,2.88,1,0,0
Steel,1553.76,die,low,32.8,2.25,1,1,0
Aluminum,731.11,sand,low,38.82,1.77,0,1,1
Cast Iron,1286.87,ceramic,low,14.63,0.96,1,1,0
Aluminum,704.09,sand,low,37.24,0.81,0,1,1
Cast Iron,1340.88,ceramic,high,15.24,0.65,0,0,0
Aluminum,727.41,die,medium,49.43,0.54,0,1,1
Cast Iron,1173.12,ceramic,high,30.19,2.7,0,0,0
Aluminum,705.81,die,low,36.3,2.52,1,1,1
Aluminum,690.96,die,low,10.33,1.92,1,1,1
Cast Iron,1308.99,ceramic,medium,16.28,3.0,1,1,1
Aluminum,654.47,die,low,11.29,2.88,1,1,1
Aluminum,691.07,ceramic,high,22.56,2.14,0,0,1
Aluminum,681.83,die,high,17.79,1.66,0,0,0
Cast Iron,1178.24,sand,high,37.98,0.88,0,1,1
Cast Iron,1225.76,sand,high,9.89,1.79,0,0,0
Aluminum,717.28,die,high,38.84,0.89,0,0,1
Aluminum,686.17,die,medium,7.06,1.5,0,0,0
Cast Iron,1266.0,ceramic,high,14.09,2.86,1,0,0
Cast Iron,1268.56,sand,low,40.64,1.35,1,1,1
Aluminum,708.71,ceramic,low,38.42,0.88,0,1,1
Aluminum,702.95,die,low,26.43,1.96,0,1,1
Aluminum,661.7,die,low,7.25,2.01,0,0,0
Steel,1482.77,ceramic,medium,32.45,0.98,0,1,0
Cast Iron,1310.01,die,low,23.3,0.99,0,1,0
Steel,1525.35,sand,medium,19.24,2.97,1,1,0
Cast Iron,1291.22,ceramic,low,33.82,1.11,1,1,1
Cast Iron,1263.98,sand,medium,24.65,2.6,1,1,0
Cast Iron,1157.74,sand,medium,9.16,1.68,1,1,0
Cast Iron,1309.24,sand,medium,46.22,1.59,1,1,1
Cast Iron,1162.86,ceramic,low,40.03,1.24,1,1,1
Cast Iron,1338.63,die,medium,7.54,2.43,1,1,0
Cast Iron,1193.08,sand,high,28.63,2.7,1,0,1
Steel,1526.86,sand,high,8.75,1.15,0,0,0
Aluminum,656.36,sand,low,42.68,0.74,0,1,1
Aluminum,739.49,die,high,32.59,0.84,0,0,1
Steel,1596.99,die,high,12.76,2.48,1,0,0
Steel,1471.94,ceramic,high,5.93,1.59,1,0,0
Steel,1494.37,die,low,6.42,0.83,1,1,0
Steel,1452.38,ceramic,low,27.83,1.35,1,1,0
Cast Iron,1307.39,ceramic,high,38.05,1.79,0,0,1
Aluminum,681.15,ceramic,low,10.44,2.63,1,1,1
Cast Iron,1267.77,ceramic,medium,14.96,2.1,1,0,0
Aluminum,653.92,ceramic,high,19.73,0.94,0,0,1
Aluminum,721.55,sand,low,14.81,0.9,0,1,1
Steel,1529.41,die,low,22.61,1.53,1,1,0
Cast Iron,1295.0,sand,high,30.18,0.69,0,1,1
Steel,1568.43,ceramic,low,35.82,2.39,1,1,0
Cast Iron,1167.85,die,high,48.37,1.5,0,1,1
Aluminum,707.81,sand,low,46.89,1.36,0,1,1
Steel,1547.49,sand,medium,30.66,1.77,1,1,1
Steel,1527.51,ceramic,high,38.04,2.27,1,1,1
Aluminum,668.24,sand,medium,47.79,1.92,0,1,1
Aluminum,729.56,sand,high,8.76,2.51,0,0,1
Aluminum,749.75,sand,low,5.25,2.07,0,1,0
Steel,1595.39,sand,medium,6.34,2.47,1,1,0
Cast Iron,1305.51,sand,low,30.35,2.24,1,1,1
Steel,1512.72,ceramic,high,39.33,0.98,0,1,1
Cast Iron,1217.46,ceramic,high,21.52,0.63,0,0,1
Steel,1460.28,sand,high,29.54,2.76,1,1,1
Steel,1512.44,ceramic,high,28.24,2.86,1,0,0
Aluminum,665.6,ceramic,high,9.26,2.32,0,0,1
Cast Iron,1200.87,die,medium,19.47,2.31,1,1,0
Steel,1583.78,sand,high,5.87,1.18,1,1,0
Steel,1595.28,ceramic,low,9.98,1.86,1,1,0
Aluminum,744.86,ceramic,medium,41.53,2.98,0,1,1
Aluminum,669.34,sand,low,42.32,2.64,0,1,1
Cast Iron,1330.18,die,high,41.09,1.26,0,0,0
Steel,1471.23,sand,low,37.71,1.25,1,1,1
Cast Iron,1251.53,die,medium,40.7,1.71,1,1,1
Steel,1546.55,sand,medium,35.19,1.51,1,1,0
Cast Iron,1242.49,sand,medium,35.14,1.43,0,1,1
Aluminum,745.18,sand,low,35.03,2.07,1,1,1
Steel,1499.98,sand,medium,28.13,0.53,0,1,0
Cast Iron,1255.48,die,low,21.35,2.41,1,1,0
Aluminum,657.54,die,high,37.86,2.35,0,0,1
Aluminum,735.22,ceramic,high,18.44,2.58,0,0,1
Cast Iron,1232.67,sand,low,29.43,2.6,1,1,1
Steel,1555.08,die,medium,24.5,1.92,1,1,0
Steel,1552.34,die,low,17.45,2.45,1,1,0
Aluminum,717.63,die,low,48.86,1.73,0,1,1
Steel,1526.04,sand,low,16.64,2.88,1,1,0
Steel,1491.63,ceramic,high,18.92,0.98,0,0,0
Steel,1543.76,die,low,12.27,2.79,1,1,0
Aluminum,746.18,sand,high,42.03,1.15,0,0,1
Cast Iron,1316.79,die,low,31.4,0.76,1,1,0
Steel,1466.32,die,high,32.59,1.6,0,0,0
Aluminum,652.32,ceramic,low,41.93,2.04,1,1,1
Aluminum,699.9,die,low,20.43,1.08,0,1,1
Cast Iron,1305.17,die,medium,13.71,1.89,1,1,0
Steel,1497.09,sand,medium,13.93,2.52,1,1,0
Steel,1555.19,sand,low,37.97,1.14,1,1,0
Cast Iron,1336.38,ceramic,low,32.64,1.95,1,1,1
Cast Iron,1241.8,sand,low,14.29,1.35,1,1,0
Aluminum,674.42,sand,low,11.53,1.82,1,1,1
Aluminum,741.78,ceramic,medium,10.43,2.17,0,0,1
Cast Iron,1244.45,die,high,33.25,1.38,0,1,1
Steel,1511.18,ceramic,low,5.01,2.99,1,1,0
Aluminum,685.34,sand,medium,5.82,1.91,0,0,1
Aluminum,692.3,ceramic,low,22.53,2.56,1,1,1
Steel,1551.05,die,low,36.11,2.31,1,1,0
Aluminum,693.37,ceramic,high,36.28,2.63,0,0,1
Steel,1498.63,sand,low,24.36,0.93,1,1,0
Steel,1561.55,sand,low,36.1,1.06,1,1,0
Steel,1480.45,ceramic,high,28.45,1.72,0,0,0
Cast Iron,1190.39,die,high,48.96,2.63,1,1,1
Cast Iron,1289.29,ceramic,high,12.31,0.99,0,0,0
Cast Iron,1323.34,die,high,32.03,2.93,1,0,0
Steel,1486.18,die,medium,27.11,0.82,1,1,0
Steel,1478.67,ceramic,medium,13.75,0.94,0,1,0
Cast Iron,1284.06,die,medium,38.75,0.92,1,1,1
Aluminum,712.08,sand,low,17.4,1.97,0,1,1
Steel,1517.09,ceramic,high,22.18,2.79,1,1,0
Aluminum,659.59,die,high,21.87,1.14,0,0,1
Aluminum,659.18,sand,medium,15.99,1.88,0,0,1
Steel,1566.6,ceramic,low,24.38,0.94,1,1,0
Steel,1517.77,sand,low,26.3,2.08,1,1,0
Aluminum,735.8,sand,low,38.49,0.81,0,1,1
Aluminum,707.47,sand,medium,39.43,1.73,0,1,1
Cast Iron,1273.75,die,low,12.14,2.14,1,1,0
Cast Iron,1336.84,ceramic,low,31.67,1.95,1,1,0
Steel,1474.69,ceramic,low,45.33,0.85,1,1,1
Cast Iron,1258.6,die,high,9.9,0.9,0,0,0
Cast Iron,1161.63,ceramic,medium,26.28,2.18,1,1,1
Cast Iron,1221.79,sand,high,38.77,2.52,1,1,1
Cast Iron,1179.62,ceramic,high,32.52,2.77,0,0,1
Aluminum,668.78,die,medium,9.53,2.53,0,0,0
Steel,1590.22,sand,high,22.85,2.93,1,1,0
Cast Iron,1272.14,die,low,27.83,1.52,1,1,0
Aluminum,739.22,sand,low,49.81,1.33,0,1,1
Aluminum,694.35,sand,low,13.04,0.57,0,1,1
Aluminum,709.76,ceramic,low,49.21,1.62,0,1,1
Cast Iron,1156.42,sand,medium,21.93,2.13,0,1,0
Cast Iron,1243.9,die,high,14.01,2.54,0,0,0
Steel,1534.61,ceramic,high,23.63,1.17,0,1,0
Cast Iron,1153.36,die,low,32.63,1.78,1,1,0
Cast Iron,1307.9,sand,low,14.61,2.16,1,1,0
Aluminum,679.54,die,high,18.11,1.88,0,0,1
Steel,1517.87,die,medium,43.45,1.19,1,1,0
Cast Iron,1257.13,sand,high,49.96,2.49,1,1,1
Cast Iron,1348.44,ceramic,low,19.32,0.93,1,1,0
Aluminum,659.92,die,low,11.7,2.76,1,1,0
Aluminum,705.53,sand,medium,40.69,2.88,0,0,1
Cast Iron,1256.12,ceramic,high,32.02,1.41,0,0,0
Steel,1460.34,ceramic,medium,9.52,1.44,1,1,0
Steel,1545.09,ceramic,medium,47.6,2.36,1,1,1
Aluminum,678.69,die,low,8.51,1.64,1,1,1
Aluminum,660.38,die,high,33.14,0.57,0,0,1
Cast Iron,1185.73,die,low,24.08,2.8,1,1,0
Aluminum,732.36,ceramic,high,30.05,1.58,0,0,1
Cast Iron,1170.82,die,low,14.59,1.01,1,1,0
Steel,1520.04,sand,low,35.96,1.89,1,1,0
Steel,1479.29,die,high,48.19,1.05,0,1,1
Cast Iron,1182.46,die,high,25.63,1.02,0,0,0
Aluminum,670.57,ceramic,low,28.53,1.86,0,1,1
Steel,1523.92,die,high,15.79,1.48,1,1,0
Aluminum,673.78,sand,low,45.13,1.93,0,1,1
Steel,1464.51,ceramic,high,48.7,2.99,1,1,1
Cast Iron,1310.28,sand,low,40.38,2.65,1,1,1
Cast Iron,1257.96,ceramic,low,29.42,0.52,1,1,1
Cast Iron,1181.37,ceramic,low,48.06,0.63,0,1,1
Steel,1520.71,die,medium,11.92,2.03,1,1,0
Aluminum,656.84,sand,high,26.53,2.07,0,0,1
Aluminum,708.04,ceramic,low,29.19,2.7,1,1,1
Aluminum,684.03,die,medium,27.14,2.07,0,1,1
Steel,1465.53,ceramic,low,41.11,1.07,1,1,0
Steel,1477.55,ceramic,medium,35.17,1.67,1,1,0
Steel,1501.86,ceramic,low,10.7,2.52,1,1,0
Steel,1570.96,ceramic,low,20.59,2.81,1,1,0
Steel,1476.06,ceramic,medium,20.26,1.09,0,1,0
Aluminum,660.97,ceramic,medium,30.45,1.85,0,0,1
Steel,1527.39,die,high,18.12,0.9,0,0,0
Steel,1533.8,ceramic,high,10.28,1.74,1,1,0
Aluminum,659.02,sand,medium,34.42,0.73,0,1,1
Steel,1492.67,die,high,43.3,2.85,1,1,0
Aluminum,676.28,sand,medium,46.92,2.1,0,0,1
Aluminum,668.62,ceramic,high,48.77,2.64,0,0,1
Cast Iron,1213.13,sand,low,40.15,3.0,1,1,1
Cast Iron,1157.42,ceramic,high,11.29,0.96,0,0,0
Cast Iron,1280.31,ceramic,low,43.39,2.24,1,1,1
Cast Iron,1347.7,die,low,23.0,2.72,1,1,0
Steel,1545.11,die,high,37.85,1.94,1,1,0
Cast Iron,1222.22,ceramic,medium,28.91,2.1,1,1,1
Aluminum,716.79,die,low,42.29,1.52,0,1,1
Steel,1535.73,sand,low,24.15,2.19,1,1,0
Cast Iron,1319.35,die,high,7.78,1.49,0,0,0
Aluminum,712.19,die,medium,30.06,1.69,0,0,1
Steel,1545.11,sand,medium,12.71,0.76,1,1,0
Steel,1483.25,die,high,48.45,0.52,0,1,1
Cast Iron,1233.13,ceramic,medium,28.71,0.64,0,1,1
Steel,1501.66,sand,high,29.91,0.98,0,0,0
Aluminum,651.14,ceramic,high,45.83,1.64,0,0,1
Steel,1496.99,sand,high,33.11,0.55,0,1,0
Aluminum,698.61,ceramic,low,18.62,0.89,0,1,1
Steel,1539.98,ceramic,low,18.32,2.45,1,1,0
Cast Iron,1336.91,die,low,27.57,2.41,1,1,0
Aluminum,673.91,ceramic,high,44.0,2.47,0,0,1
Steel,1472.86,die,low,40.76,2.8,1,1,0
Steel,1580.42,sand,low,48.32,0.8,1,1,1
Steel,1591.28,ceramic,low,8.23,0.91,1,1,0
Aluminum,698.8,ceramic,high,17.07,1.33,0,0,1
Aluminum,661.52,sand,high,8.61,2.79,0,0,1
Aluminum,698.54,sand,high,38.8,2.44,0,0,1
Cast Iron,1171.89,ceramic,low,11.34,1.31,1,1,0
Cast Iron,1326.64,sand,medium,9.49,0.72,0,0,0
Aluminum,720.82,die,low,30.28,2.04,0,1,1
Steel,1486.17,sand,low,23.52,1.14,1,1,0
Cast Iron,1327.34,sand,high,37.18,1.83,0,0,1
Aluminum,713.79,ceramic,high,26.92,2.85,0,0,1
Steel,1592.99,die,low,24.14,1.93,1,1,0
Cast Iron,1346.1,sand,low,24.15,2.81,1,1,0
Steel,1450.49,die,medium,44.23,1.48,1,1,0
Steel,1468.03,die,medium,22.79,2.08,1,1,0
Steel,1532.04,die,high,20.0,2.73,1,0,0
Steel,1593.38,ceramic,medium,20.23,1.97,1,1,0
Cast Iron,1348.85,sand,medium,13.85,2.04,1,1,0
Cast Iron,1263.48,ceramic,high,43.73,2.29,1,1,1
Cast Iron,1184.76,sand,medium,11.6,2.71,1,1,0
Aluminum,666.31,sand,low,45.89,0.72,0,1,1
Cast Iron,1302.77,ceramic,medium,17.76,1.34,0,1,0
Steel,1538.79,die,high,45.47,1.49,1,1,0
Cast Iron,1259.75,die,low,40.59,2.77,1,1,0
Steel,1519.86,sand,medium,31.19,2.89,1,1,0
Aluminum,722.51,ceramic,low,35.13,0.8,0,1,1
Steel,1578.71,die,low,19.66,0.8,1,1,0
Steel,1495.44,die,medium,30.84,2.84,1,1,0
Steel,1483.14,sand,medium,18.16,1.24,1,1,0
Aluminum,717.02,sand,high,23.1,1.1,0,0,1
Cast Iron,1332.95,ceramic,high,39.41,0.59,0,1,1
Cast Iron,1219.63,sand,low,15.98,1.19,1,1,0
Aluminum,677.24,die,high,42.75,2.23,0,0,1
Steel,1483.92,die,low,21.91,1.57,1,1,0
Cast Iron,1200.9,die,low,28.95,1.79,1,1,0
Aluminum,663.49,die,high,47.39,2.79,0,0,1
Cast Iron,1269.36,ceramic,high,35.66,0.79,0,0,1
Aluminum,678.08,ceramic,high,34.05,0.68,0,0,1
Steel,1542.24,sand,medium,37.02,2.63,1,1,0
Cast Iron,1166.61,sand,low,46.32,2.44,1,1,1
Aluminum,661.55,sand,low,16.18,1.16,0,0,1
Cast Iron,1257.23,ceramic,low,32.6,1.31,1,1,1
Cast Iron,1252.31,die,high,23.02,1.28,0,0,0
Cast Iron,1204.3,sand,high,5.53,2.12,1,0,0
Cast Iron,1315.43,die,high,10.64,0.65,0,0,0
Aluminum,668.7,sand,high,19.62,1.72,0,0,1
Steel,1504.1,sand,high,30.42,0.83,0,1,0
Aluminum,705.55,sand,medium,44.67,2.55,0,1,1
Aluminum,736.72,sand,high,40.6,1.45,0,0,1
Aluminum,691.86,sand,low,29.9,1.82,0,1,1
Steel,1509.79,die,high,8.32,0.57,0,0,0
Cast Iron,1265.91,sand,low,17.87,0.65,0,1,0
Cast Iron,1213.34,die,high,21.5,2.19,1,0,0
Cast Iron,1291.83,ceramic,high,32.98,2.42,1,1,1
Steel,1487.3,sand,low,7.92,2.28,1,1,0
Cast Iron,1314.64,die,low,28.86,2.34,1,1,1
Steel,1490.85,ceramic,low,45.57,0.76,1,1,1
Cast Iron,1348.54,ceramic,low,36.74,2.23,1,1,1
Cast Iron,1213.29,ceramic,medium,40.87,0.95,0,1,1
Aluminum,737.88,die,low,35.68,0.75,0,1,1
Steel,1509.6,sand,high,14.3,2.39,1,0,0
Aluminum,674.61,sand,high,9.97,2.72,0,0,1
Aluminum,672.62,die,medium,42.33,2.29,0,1,1
Aluminum,735.02,sand,low,36.3,2.51,1,1,1
Steel,1496.31,die,high,30.88,2.98,1,1,0
Steel,1500.78,sand,medium,13.52,0.84,0,1,0
Cast Iron,1189.4,ceramic,high,32.15,2.91,1,0,1
Aluminum,746.13,sand,medium,6.41,2.0,0,0,1
Cast Iron,1198.95,die,medium,10.35,2.53,1,1,0
Aluminum,674.74,die,low,19.04,2.13,1,1,1
Steel,1591.58,ceramic,medium,24.97,1.93,1,1,0
Steel,1585.13,die,high,10.43,2.26,1,1,0
Steel,1487.34,sand,high,10.4,1.3,0,0,0
Aluminum,736.47,sand,low,37.67,2.81,1,1,1
Steel,1487.47,ceramic,low,30.64,0.79,1,1,0
Aluminum,658.45,die,medium,29.02,1.3,0,0,1
Cast Iron,1314.07,ceramic,low,25.36,0.58,1,1,0
Aluminum,727.16,sand,high,48.94,1.18,0,0,1
Cast Iron,1208.93,ceramic,high,7.24,1.05,0,0,0
Aluminum,659.01,die,low,13.13,0.62,0,1,0
Cast Iron,1191.29,ceramic,low,34.14,1.73,1,1,1
Steel,1565.66,die,low,11.14,1.67,1,1,0
Cast Iron,1342.95,die,medium,31.52,0.69,0,1,0
Steel,1488.85,sand,medium,30.55,1.15,1,1,0
Steel,1572.74,sand,high,48.7,2.88,1,1,1
Cast Iron,1195.59,sand,medium,44.75,0.78,0,1,1
Aluminum,717.96,die,medium,47.55,1.26,0,1,1
Aluminum,658.36,ceramic,medium,10.11,0.59,0,0,1
Aluminum,708.53,die,medium,44.07,0.87,0,0,1
Aluminum,676.92,sand,high,10.81,2.25,0,0,1
Aluminum,742.58,sand,low,33.48,1.42,0,1,1
Steel,1493.46,ceramic,high,37.4,1.63,0,1,0
Aluminum,689.84,sand,medium,12.24,0.89,0,0,1
Steel,1576.1,sand,low,33.47,2.21,1,1,1
Steel,1515.74,sand,low,7.36,2.38,1,1,0
Steel,1485.76,ceramic,low,18.2,0.95,1,1,0
Cast Iron,1259.51,die,high,46.45,0.61,0,1,1
Cast Iron,1318.0,sand,low,12.73,0.7,0,1,0
Steel,1514.98,ceramic,high,7.94,2.14,1,0,0
Cast Iron,1176.58,sand,high,24.97,0.84,0,0,0
Aluminum,688.31,ceramic,medium,43.28,1.73,0,1,1
Aluminum,745.45,sand,medium,8.45,0.88,0,0,1
Steel,1460.8,ceramic,low,21.0,0.93,1,1,0
Aluminum,690.84,sand,low,45.49,0.51,0,1,1
Steel,1547.2,die,medium,10.32,1.3,1,1,0
Steel,1461.78,sand,high,18.98,0.72,0,0,0
Aluminum,684.5,ceramic,high,40.03,1.48,0,0,1
Cast Iron,1338.12,sand,medium,29.44,1.99,1,1,0
Aluminum,653.06,die,high,42.45,1.42,0,0,1
Aluminum,725.17,sand,medium,10.02,2.26,0,0,1
Steel,1576.21,ceramic,medium,46.42,2.35,1,1,1
Steel,1491.56,ceramic,low,47.07,2.24,1,1,1
Steel,1482.21,die,low,11.99,2.84,1,1,0
Steel,1587.22,ceramic,medium,6.52,1.09,1,1,0
Cast Iron,1302.8,sand,low,49.54,0.97,1,1,1
Cast Iron,1172.68,sand,medium,26.7,2.02,0,1,0
Cast Iron,1192.44,sand,high,30.74,1.99,0,0,1
Steel,1543.2,ceramic,high,32.72,1.78,0,0,0
Steel,1512.91,sand,high,40.54,0.51,0,1,1
Steel,1525.63,sand,high,41.54,1.89,1,1,1
Cast Iron,1340.31,sand,medium,13.73,2.83,1,1,0
Steel,1513.04,die,high,15.65,1.34,1,1,0
Aluminum,738.17,ceramic,high,44.46,2.92,0,0,1
Aluminum,716.07,ceramic,high,41.88,1.39,0,0,1
Steel,1468.24,ceramic,high,32.79,0.85,0,1,0
Aluminum,724.45,die,medium,49.76,1.5,0,1,1
Aluminum,702.02,ceramic,high,38.08,1.74,0,0,1
Cast Iron,1195.02,die,low,14.71,2.07,1,1,0
Steel,1493.43,die,low,43.1,1.76,1,1,1
Steel,1533.6,ceramic,low,23.66,1.84,1,1,0
Cast Iron,1270.34,sand,low,6.63,0.56,0,1,0
Aluminum,746.82,sand,low,19.46,1.13,0,1,1
Aluminum,735.47,ceramic,low,39.36,1.28,0,1,1
Steel,1480.88,ceramic,medium,48.21,2.97,1,1,1
Aluminum,727.4,die,low,17.43,1.24,0,1,1
Cast Iron,1151.66,ceramic,high,16.09,2.74,1,0,1
Cast Iron,1175.96,die,low,30.36,1.26,1,1,0
Steel,1479.96,ceramic,medium,41.53,0.74,1,1,1
Cast Iron,1269.44,sand,low,38.59,1.12,1,1,1
Cast Iron,1188.94,sand,high,30.2,1.18,0,0,1
